company_id,num_employees,amount_in,amount_out,transactions_in,transactions_out,num_customers,num_vendors,has_intuit_payments
183850290,2.5,13429.8,13395.9,7.6,44.4,0.2,20.5,0
183861379,,805.7,125.5,0.1,0.2,0.0,0.2,0
183868075,12.2,5071.3,4229.6,9.9,9.1,0.0,5.5,1
183875419,1.0,36875.0,42966.8,1.3,9.0,0.8,6.3,0
183887731,,1585.4,319.9,1.5,6.6,1.5,5.3,0
183912355,1.0,586.1,450.2,0.9,3.6,0.5,3.3,0
183917612,,0.0,0.0,0.0,0.0,0.0,0.0,0
183960164,,7445.0,382.6,4.8,1.9,4.0,1.7,0
184036485,6.1,0.0,259.2,0.2,1.4,0.2,1.1,0
184058374,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0
184089910,2.2,6837.0,6917.1,9.7,22.8,6.8,9.7,1
184302673,,19816.4,22133.0,1.2,18.5,0.0,13.7,0
184317218,,61744.7,60838.8,20.2,100.1,0.0,50.4,0
184343138,47.4,61496.0,33250.8,9.3,64.8,0.8,24.7,1
